movieId,title,genres
59,Basic Instinct (1992),Crime|Mystery|Thriller
60,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi
61,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller
62,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
63,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
64,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
65,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
66,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller
67,Apocalypse Now (1979),Action|Drama|War
68,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
69,Goodfellas (1990),Crime|Drama
70,Alien (1979),Horror|Sci-Fi
71,Psycho (1960),Crime|Horror
72,"Blues Brothers, The (1980)",Action|Comedy|Musical
73,Full Metal Jacket (1987),Drama|War
74,Henry V (1989),Action|Drama|Romance|War
75,"Terminator, The (1984)",Action|Sci-Fi|Thriller
76,Duck Soup (1933),Comedy|Musical|War
77,"Shining, The (1980)",Horror
78,Groundhog Day (1993),Comedy|Fantasy|Romance
79,Back to the Future (1985),Adventure|Comedy|Sci-Fi
80,Highlander (1986),Action|Adventure|Fantasy
81,Young Frankenstein (1974),Comedy|Fantasy
82,Fantasia (1940),Animation|Children|Fantasy|Musical
83,Indiana Jones and the Last Crusade (1989),Action|Adventure
84,Pink Floyd: The Wall (1982),Drama|Musical
85,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",Horror
86,Batman Returns (1992),Action|Crime
87,Sneakers (1992),Action|Comedy|Crime|Drama|Sci-Fi
88,"Last of the Mohicans, The (1992)",Action|Romance|War|Western
89,Grosse Pointe Blank (1997),Comedy|Crime|Romance
90,Austin Powers: International Man of Mystery (1997),Action|Adventure|Comedy
91,Con Air (1997),Action|Adventure|Thriller
92,Face/Off (1997),Action|Crime|Drama|Thriller
93,Men in Black (a.k.a. MIB) (1997),Action|Comedy|Sci-Fi
94,Conan the Barbarian (1982),Action|Adventure|Fantasy
95,L.A. Confidential (1997),Crime|Film-Noir|Mystery|Thriller
96,Kiss the Girls (1997),Crime|Drama|Mystery|Thriller
97,"Game, The (1997)",Drama|Mystery|Thriller
98,I Know What You Did Last Summer (1997),Horror|Mystery|Thriller
99,Starship Troopers (1997),Action|Sci-Fi
100,"Big Lebowski, The (1998)",Comedy|Crime
101,"Wedding Singer, The (1998)",Comedy|Romance
102,Wild Things (1998),Crime|Drama|Mystery|Thriller
103,Small Soldiers (1998),Animation|Children|Fantasy|War
104,All Quiet on the Western Front (1930),Action|Drama|War
105,Rocky (1976),Drama
106,Labyrinth (1986),Adventure|Fantasy|Musical
107,Lethal Weapon (1987),Action|Comedy|Crime|Drama
108,"Goonies, The (1985)",Action|Adventure|Children|Comedy|Fantasy
109,Back to the Future Part III (1990),Adventure|Comedy|Sci-Fi|Western
110,Bambi (1942),Animation|Children|Drama
111,Saving Private Ryan (1998),Action|Drama|War
112,Flight of the Navigator (1986),Adventure|Children|Sci-Fi
113,"Honey, I Shrunk the Kids (1989)",Adventure|Children|Comedy|Fantasy|Sci-Fi
114,"Negotiator, The (1998)",Action|Crime|Drama|Mystery|Thriller
115,"Jungle Book, The (1967)",Animation|Children|Comedy|Musical
116,"Rescuers, The (1977)",Adventure|Animation|Children|Crime|Drama
117,"Rocketeer, The (1991)",Action|Adventure|Sci-Fi
118,Sleeping Beauty (1959),Animation|Children|Musical
119,Tron (1982),Action|Adventure|Sci-Fi
120,Indiana Jones and the Temple of Doom (1984),Action|Adventure|Fantasy
121,"Lord of the Rings, The (1978)",Adventure|Animation|Children|Fantasy
122,Charlotte's Web (1973),Animation|Children
123,"Secret of NIMH, The (1982)",Adventure|Animation|Children|Drama
124,"American Tail, An (1986)",Adventure|Animation|Children|Comedy
125,Legend (1985),Adventure|Fantasy|Romance
126,"NeverEnding Story, The (1984)",Adventure|Children|Fantasy
127,Beetlejuice (1988),Comedy|Fantasy
128,Willow (1988),Action|Adventure|Fantasy
129,Toys (1992),Comedy|Fantasy
130,"Few Good Men, A (1992)",Crime|Drama|Thriller
131,Rush Hour (1998),Action|Comedy|Crime|Thriller
132,Edward Scissorhands (1990),Drama|Fantasy|Romance
133,American History X (1998),Crime|Drama
134,I Still Know What You Did Last Summer (1998),Horror|Mystery|Thriller
135,Enemy of the State (1998),Action|Thriller
136,King Kong (1933),Action|Adventure|Fantasy|Horror
137,Very Bad Things (1998),Comedy|Crime
138,Rushmore (1998),Comedy|Drama
139,Romancing the Stone (1984),Action|Adventure|Comedy|Romance
140,Young Sherlock Holmes (1985),Action|Adventure|Children|Fantasy|Mystery|Thriller
141,"Thin Red Line, The (1998)",Action|Drama|War
142,Howard the Duck (1986),Adventure|Comedy|Sci-Fi
143,"Texas Chainsaw Massacre, The (1974)",Horror
144,Crocodile Dundee (1986),Adventure|Comedy
145,¡Three Amigos! (1986),Comedy|Western
146,Office Space (1999),Comedy|Crime
147,Logan's Run (1976),Action|Adventure|Sci-Fi
148,Planet of the Apes (1968),Action|Drama|Sci-Fi
149,"Lock, Stock & Two Smoking Barrels (1998)",Comedy|Crime|Thriller
150,"Matrix, The (1999)",Action|Sci-Fi|Thriller
151,Go (1999),Comedy|Crime
152,SLC Punk! (1998),Comedy|Drama
153,Dick Tracy (1990),Action|Crime
154,"Mummy, The (1999)",Action|Adventure|Comedy|Fantasy|Horror|Thriller
155,Star Wars: Episode I - The Phantom Menace (1999),Action|Adventure|Sci-Fi
156,Superman (1978),Action|Adventure|Sci-Fi
157,Superman II (1980),Action|Sci-Fi
158,Frankenstein (1931),Drama|Horror|Sci-Fi
159,"Rocky Horror Picture Show, The (1975)",Comedy|Horror|Musical|Sci-Fi
160,Run Lola Run (Lola rennt) (1998),Action|Crime
161,"South Park: Bigger, Longer and Uncut (1999)",Animation|Comedy|Musical
162,Ghostbusters (a.k.a. Ghost Busters) (1984),Action|Comedy|Sci-Fi
163,"Iron Giant, The (1999)",Adventure|Animation|Children|Drama|Sci-Fi
164,Big (1988),Comedy|Drama|Fantasy|Romance
165,"13th Warrior, The (1999)",Action|Adventure|Fantasy
166,American Beauty (1999),Drama|Romance
167,Excalibur (1981),Adventure|Fantasy
168,Total Recall (1990),Action|Adventure|Sci-Fi|Thriller
169,"Dirty Dozen, The (1967)",Action|Drama|War
170,Goldfinger (1964),Action|Adventure|Thriller
171,From Russia with Love (1963),Action|Adventure|Thriller
172,Dr. No (1962),Action|Adventure|Thriller
173,Fight Club (1999),Action|Crime|Drama|Thriller
174,RoboCop (1987),Action|Crime|Drama|Sci-Fi|Thriller
175,Who Framed Roger Rabbit? (1988),Adventure|Animation|Children|Comedy|Crime|Fantasy|Mystery
176,Live and Let Die (1973),Action|Adventure|Thriller
177,Thunderball (1965),Action|Adventure|Thriller
178,Being John Malkovich (1999),Comedy|Drama|Fantasy
179,Spaceballs (1987),Comedy|Sci-Fi
180,Robin Hood (1973),Adventure|Animation|Children|Comedy|Musical
181,Dogma (1999),Adventure|Comedy|Fantasy
182,"Messenger: The Story of Joan of Arc, The (1999)",Drama|War
183,"Longest Day, The (1962)",Action|Drama|War
184,"Green Mile, The (1999)",Crime|Drama
185,Easy Rider (1969),Adventure|Drama
186,"Talented Mr. Ripley, The (1999)",Drama|Mystery|Thriller
187,Encino Man (1992),Comedy
188,Sister Act (1992),Comedy|Crime
189,Wayne's World (1992),Comedy
190,Scream 3 (2000),Comedy|Horror|Mystery|Thriller
191,JFK (1991),Drama|Mystery|Thriller
192,Teenage Mutant Ninja Turtles II: The Secret of the Ooze (1991),Action|Children|Fantasy
193,Teenage Mutant Ninja Turtles III (1993),Action|Adventure|Children|Comedy|Fantasy
194,Red Dawn (1984),Action|Drama|War
195,"Good Morning, Vietnam (1987)",Comedy|Drama|War
196,Grumpy Old Men (1993),Comedy
197,Ladyhawke (1985),Adventure|Fantasy|Romance
198,Hook (1991),Adventure|Comedy|Fantasy
199,Predator (1987),Action|Sci-Fi|Thriller
200,Gladiator (2000),Action|Adventure|Drama
201,Road Trip (2000),Comedy
202,"Man with the Golden Gun, The (1974)",Action|Adventure|Thriller
203,Blazing Saddles (1974),Comedy|Western
204,Mad Max (1979),Action|Adventure|Sci-Fi
205,"Road Warrior, The (Mad Max 2) (1981)",Action|Adventure|Sci-Fi|Thriller
206,Big Trouble in Little China (1986),Action|Adventure|Comedy|Fantasy
207,Shaft (2000),Action|Crime|Thriller
208,X-Men (2000),Action|Adventure|Sci-Fi
209,What About Bob? (1991),Comedy
210,M*A*S*H (a.k.a. MASH) (1970),Comedy|Drama|War
211,"Shawshank Redemption, The (1994)",Crime|Drama
212,Good Will Hunting (1997),Drama|Romance
213,Kill Bill: Vol. 1 (2003),Action|Crime|Thriller
214,Collateral (2004),Action|Crime|Drama|Thriller
215,Talladega Nights: The Ballad of Ricky Bobby (2006),Action|Comedy
216,"Departed, The (2006)",Crime|Drama|Thriller
217,"Dark Knight, The (2008)",Action|Crime|Drama|IMAX
218,Step Brothers (2008),Comedy
219,Inglourious Basterds (2009),Action|Drama|War
220,Zombieland (2009),Action|Comedy|Horror
221,Shutter Island (2010),Drama|Mystery|Thriller
222,Exit Through the Gift Shop (2010),Comedy|Documentary
223,Inception (2010),Action|Crime|Drama|Mystery|Sci-Fi|Thriller|IMAX
224,"Town, The (2010)",Crime|Drama|Thriller
225,Inside Job (2010),Documentary
226,Warrior (2011),Drama
227,"Dark Knight Rises, The (2012)",Action|Adventure|Crime|IMAX
228,"Girl with the Dragon Tattoo, The (2011)",Drama|Thriller
229,Django Unchained (2012),Action|Drama|Western
230,"Wolf of Wall Street, The (2013)",Comedy|Crime|Drama
231,Interstellar (2014),Sci-Fi|IMAX
232,Whiplash (2014),Drama
233,Ex Machina (2015),Drama|Sci-Fi|Thriller
234,Mad Max: Fury Road (2015),Action|Adventure|Sci-Fi|Thriller
235,Dangerous Minds (1995),Drama
236,Courage Under Fire (1996),Action|Crime|Drama|War
237,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy
238,Escape from L.A. (1996),Action|Adventure|Sci-Fi|Thriller
239,My Fair Lady (1964),Comedy|Drama|Musical|Romance
240,"Doors, The (1991)",Drama
241,On Golden Pond (1981),Drama
242,"Deer Hunter, The (1978)",Drama|War
243,Patton (1970),Drama|War
244,Field of Dreams (1989),Children|Drama|Fantasy
245,Star Trek: The Motion Picture (1979),Adventure|Sci-Fi
246,Lady and the Tramp (1955),Animation|Children|Comedy|Romance
247,"Thing, The (1982)",Action|Horror|Sci-Fi|Thriller
248,You've Got Mail (1998),Comedy|Romance
249,Fast Times at Ridgemont High (1982),Comedy|Drama|Romance
250,Requiem for a Dream (2000),Drama
251,2012 (2009),Action|Drama|Sci-Fi|Thriller
252,Get Shorty (1995),Comedy|Crime|Thriller
253,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller
254,To Die For (1995),Comedy|Drama|Thriller
255,Mighty Aphrodite (1995),Comedy|Drama|Romance
256,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
257,Flirting With Disaster (1996),Comedy
258,Crumb (1994),Documentary
259,Living in Oblivion (1995),Comedy
260,Before Sunrise (1995),Drama|Romance
261,Circle of Friends (1995),Drama|Romance
262,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
263,Heavenly Creatures (1994),Crime|Drama
264,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
265,Shallow Grave (1994),Comedy|Drama|Thriller
266,Muriel's Wedding (1994),Comedy
267,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
268,Bullets Over Broadway (1994),Comedy
269,"Corrina, Corrina (1994)",Comedy|Drama|Romance
270,Four Weddings and a Funeral (1994),Comedy|Romance
271,Maverick (1994),Adventure|Comedy|Western
272,Barcelona (1994),Comedy|Romance
273,In the Name of the Father (1993),Drama
274,Manhattan Murder Mystery (1993),Comedy|Mystery
275,"Piano, The (1993)",Drama|Romance
276,Six Degrees of Separation (1993),Drama
277,Sleepless in Seattle (1993),Comedy|Drama|Romance
278,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
279,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
280,"Wild Bunch, The (1969)",Adventure|Western
281,"Truth About Cats & Dogs, The (1996)",Comedy|Romance
282,Lone Star (1996),Drama|Mystery|Western
283,Twelfth Night (1996),Comedy|Drama|Romance
284,"Philadelphia Story, The (1940)",Comedy|Drama|Romance
285,Singin' in the Rain (1952),Comedy|Musical|Romance
286,Breakfast at Tiffany's (1961),Drama|Romance
287,Rear Window (1954),Mystery|Thriller
288,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller
289,Some Like It Hot (1959),Comedy|Crime
290,Casablanca (1942),Drama|Romance
291,Gone with the Wind (1939),Drama|Romance|War
292,Notorious (1946),Film-Noir|Romance|Thriller
293,Everyone Says I Love You (1996),Comedy|Musical|Romance
294,Sleeper (1973),Comedy|Sci-Fi
295,"Fish Called Wanda, A (1988)",Comedy|Crime
296,Bonnie and Clyde (1967),Crime|Drama
297,Dial M for Murder (1954),Crime|Mystery|Thriller
298,"Crying Game, The (1992)",Drama|Romance|Thriller
299,Rebel Without a Cause (1955),Drama
300,"Grifters, The (1990)",Crime|Drama|Film-Noir
301,"English Patient, The (1996)",Drama|Romance|War
302,Strictly Ballroom (1992),Comedy|Romance
303,Brazil (1985),Fantasy|Sci-Fi
304,12 Angry Men (1957),Drama
305,"Wings of Desire (Himmel über Berlin, Der) (1987)",Drama|Fantasy|Romance
306,Amadeus (1984),Drama
307,"Bridge on the River Kwai, The (1957)",Adventure|Drama|War
308,Stand by Me (1986),Adventure|Drama
309,Unforgiven (1992),Drama|Western
310,High Noon (1952),Drama|Western
311,This Is Spinal Tap (1984),Comedy
312,Butch Cassidy and the Sundance Kid (1969),Action|Western
313,Mars Attacks! (1996),Action|Comedy|Sci-Fi
314,Waiting for Guffman (1996),Comedy
315,Donnie Brasco (1997),Crime|Drama
316,Conspiracy Theory (1997),Drama|Mystery|Romance|Thriller
317,"Full Monty, The (1997)",Comedy|Drama
318,"Sweet Hereafter, The (1997)",Drama
319,"Spanish Prisoner, The (1997)",Crime|Drama|Mystery|Thriller
320,Bulworth (1998),Comedy|Drama|Romance
321,"Opposite of Sex, The (1998)",Comedy|Drama|Romance
322,"Perfect Murder, A (1998)",Thriller
323,Can't Hardly Wait (1998),Comedy|Drama|Romance
324,Mulan (1998),Adventure|Animation|Children|Comedy|Drama|Musical|Romance
325,Buffalo '66 (a.k.a. Buffalo 66) (1998),Drama|Romance
326,There's Something About Mary (1998),Comedy|Romance
327,West Side Story (1961),Drama|Musical|Romance
328,"Breakfast Club, The (1985)",Comedy|Drama
329,Seven Samurai (Shichinin no samurai) (1954),Action|Adventure|Drama
330,Blue Velvet (1986),Drama|Mystery|Thriller
331,"Jerk, The (1979)",Comedy
332,Pretty in Pink (1986),Comedy|Drama|Romance
333,"Gods Must Be Crazy, The (1980)",Adventure|Comedy
334,Strangers on a Train (1951),Crime|Drama|Film-Noir|Thriller
335,Life Is Beautiful (La Vita è bella) (1997),Comedy|Drama|Romance|War
336,Elizabeth (1998),Drama
337,Waking Ned Devine (a.k.a. Waking Ned) (1998),Comedy
338,"Name of the Rose, The (Name der Rose, Der) (1986)",Crime|Drama|Mystery|Thriller
339,Cookie's Fortune (1999),Comedy|Drama
340,Election (1999),Comedy
341,Austin Powers: The Spy Who Shagged Me (1999),Action|Adventure|Comedy
342,Eyes Wide Shut (1999),Drama|Mystery|Thriller
343,"Sixth Sense, The (1999)",Drama|Horror|Mystery
344,"Thomas Crown Affair, The (1999)",Action|Mystery
345,Bowfinger (1999),Comedy
346,Airplane! (1980),Comedy
347,High Plains Drifter (1973),Western
348,Hairspray (1988),Comedy|Drama
349,Crimes and Misdemeanors (1989),Comedy|Crime|Drama
350,Dead Again (1991),Mystery|Romance|Thriller
351,"Commitments, The (1991)",Comedy|Drama|Musical
352,All About My Mother (Todo sobre mi madre) (1999),Drama
353,Magnolia (1999),Drama
354,Galaxy Quest (1999),Adventure|Comedy|Sci-Fi
355,"League of Their Own, A (1992)",Comedy|Drama
356,Wonder Boys (2000),Comedy|Drama
357,Defending Your Life (1991),Comedy|Drama|Fantasy|Romance
358,Erin Brockovich (2000),Drama
359,High Fidelity (2000),Comedy|Drama|Romance
360,"Outlaw Josey Wales, The (1976)",Action|Adventure|Drama|Thriller|Western
361,Mr. Mom (1983),Comedy|Drama
362,Almost Famous (2000),Drama
363,Best in Show (2000),Comedy
364,Billy Elliot (2000),Drama
365,"Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000)",Action|Drama|Romance
366,"Planes, Trains & Automobiles (1987)",Comedy
367,Chocolat (2000),Drama|Romance
368,"Gift, The (2000)",Thriller
369,"O Brother, Where Art Thou? (2000)",Adventure|Comedy|Crime
370,State and Main (2000),Comedy|Drama
371,Thirteen Days (2000),Drama|Thriller|War
372,Traffic (2000),Crime|Drama|Thriller
373,Innerspace (1987),Action|Adventure|Comedy|Sci-Fi
374,In the Mood For Love (Fa yeung nin wa) (2000),Drama|Romance
375,Memento (2000),Mystery|Thriller
376,Blow (2001),Crime|Drama
377,Bridget Jones's Diary (2001),Comedy|Drama|Romance
378,Moulin Rouge (2001),Drama|Musical|Romance
379,Ghost World (2001),Comedy|Drama
380,"Man Who Wasn't There, The (2001)",Crime|Drama
381,Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Adventure|Children|Fantasy
382,"Devil's Backbone, The (Espinazo del diablo, El) (2001)",Drama|Fantasy|Horror|Thriller|War
383,No Man's Land (2001),Drama|War
384,Babe (1995),Children|Drama
385,Dead Man Walking (1995),Crime|Drama
386,Clueless (1995),Comedy|Romance
387,Apollo 13 (1995),Adventure|Drama|IMAX
388,Batman Forever (1995),Action|Adventure|Comedy|Crime
389,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
390,Little Women (1994),Drama
391,Legends of the Fall (1994),Drama|Romance|War|Western
392,Once Were Warriors (1994),Crime|Drama
393,Quiz Show (1994),Drama
394,Ace Ventura: Pet Detective (1994),Comedy
395,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
396,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
397,Addams Family Values (1993),Children|Comedy|Fantasy
398,In the Line of Fire (1993),Action|Thriller
399,"Remains of the Day, The (1993)",Drama|Romance
400,"Secret Garden, The (1993)",Children|Drama
401,Shadowlands (1993),Drama|Romance
402,Terminator 2: Judgment Day (1991),Action|Sci-Fi
403,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical
404,Pretty Woman (1990),Comedy|Romance
405,Jumanji (1995),Adventure|Children|Fantasy
406,Father of the Bride Part II (1995),Comedy
407,Sabrina (1995),Comedy|Romance
408,GoldenEye (1995),Action|Adventure|Thriller
409,"American President, The (1995)",Comedy|Drama|Romance
410,Cutthroat Island (1995),Action|Adventure|Romance
411,Casino (1995),Crime|Drama
412,Sense and Sensibility (1995),Drama|Romance
413,Ace Ventura: When Nature Calls (1995),Comedy
414,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller
415,Powder (1995),Drama|Sci-Fi
416,Leaving Las Vegas (1995),Drama|Romance
417,Othello (1995),Drama
418,Richard III (1995),Drama|War
419,How to Make an American Quilt (1995),Drama|Romance
420,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy
421,Mr. Holland's Opus (1995),Drama
422,Bio-Dome (1996),Comedy
423,Screamers (1995),Action|Sci-Fi|Thriller
424,"Juror, The (1996)",Drama|Thriller
425,White Squall (1996),Action|Adventure|Drama
426,Black Sheep (1996),Comedy
427,Nick of Time (1995),Action|Thriller
428,Broken Arrow (1996),Action|Adventure|Thriller
429,City Hall (1996),Drama|Thriller
430,Happy Gilmore (1996),Comedy
431,"Bridges of Madison County, The (1995)",Drama|Romance
432,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime
433,Down Periscope (1996),Comedy
434,Up Close and Personal (1996),Drama|Romance
435,"Birdcage, The (1996)",Comedy
436,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller
437,Casper (1995),Adventure|Children
438,Clockers (1995),Crime|Drama|Mystery
439,Congo (1995),Action|Adventure|Mystery|Sci-Fi
440,Crimson Tide (1995),Drama|Thriller|War
441,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
442,First Knight (1995),Action|Drama|Romance
443,Hackers (1995),Action|Adventure|Crime|Thriller
444,Jury Duty (1995),Comedy
445,Mallrats (1995),Comedy|Romance
446,Mighty Morphin Power Rangers: The Movie (1995),Action|Children
447,"Net, The (1995)",Action|Crime|Thriller
448,Nine Months (1995),Comedy|Romance
449,Something to Talk About (1995),Comedy|Drama|Romance
450,Species (1995),Horror|Sci-Fi
451,Under Siege 2: Dark Territory (1995),Action
452,"Walk in the Clouds, A (1995)",Drama|Romance
453,Waterworld (1995),Action|Adventure|Sci-Fi
454,Boys on the Side (1995),Comedy|Drama
455,Don Juan DeMarco (1995),Comedy|Drama|Romance
456,Disclosure (1994),Drama|Thriller
457,Dolores Claiborne (1995),Drama|Thriller
458,Exit to Eden (1994),Comedy
459,French Kiss (1995),Action|Comedy|Romance
460,Forget Paris (1995),Comedy|Romance
461,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance
462,Houseguest (1994),Comedy
463,I.Q. (1994),Comedy|Romance
464,Junior (1994),Comedy|Sci-Fi
465,Just Cause (1995),Mystery|Thriller
466,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance
467,"Little Princess, A (1995)",Children|Drama
468,Major Payne (1995),Comedy
469,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
470,Milk Money (1994),Comedy|Romance
471,Miracle on 34th Street (1994),Drama
472,Nobody's Fool (1994),Comedy|Drama|Romance
473,Nell (1994),Drama
474,Natural Born Killers (1994),Action|Crime|Thriller
475,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
476,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
477,"Quick and the Dead, The (1995)",Action|Thriller|Western
478,"Secret of Roan Inish, The (1994)",Children|Drama|Fantasy|Mystery
479,"Specialist, The (1994)",Action|Drama|Thriller
480,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
481,Tank Girl (1995),Action|Comedy|Sci-Fi
482,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
483,Village of the Damned (1995),Horror|Sci-Fi
484,What's Eating Gilbert Grape (1993),Drama
485,While You Were Sleeping (1995),Comedy|Romance
486,"Client, The (1994)",Drama|Mystery|Thriller
487,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
488,"Flintstones, The (1994)",Children|Comedy|Fantasy
489,It Could Happen to You (1994),Comedy|Drama|Romance
490,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",Drama|Horror|Mystery|Thriller
491,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy
492,"Paper, The (1994)",Comedy|Drama
493,Richie Rich (1994),Children|Comedy
494,Speed (1994),Action|Romance|Thriller
495,When a Man Loves a Woman (1994),Drama|Romance
496,Wolf (1994),Drama|Horror|Romance|Thriller
497,Wyatt Earp (1994),Western
498,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),Action|Fantasy
499,"Age of Innocence, The (1993)",Drama
500,Another Stakeout (1993),Comedy|Thriller
501,"Beverly Hillbillies, The (1993)",Comedy
502,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western
503,Cliffhanger (1993),Action|Adventure|Thriller
504,Coneheads (1993),Comedy|Sci-Fi
505,Dave (1993),Comedy|Romance
506,Fatal Instinct (1993),Comedy
507,"Firm, The (1993)",Drama|Thriller
508,Free Willy (1993),Adventure|Children|Drama
509,Hot Shots! Part Deux (1993),Action|Comedy|War
510,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance
511,What's Love Got to Do with It? (1993),Drama|Musical
512,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy
513,Made in America (1993),Comedy
514,Malice (1993),Thriller
515,"Man Without a Face, The (1993)",Drama
516,Menace II Society (1993),Action|Crime|Drama
